name,dob,race,address,email,children,has_kids,car,income,sqft,sleephours,pet
"Acevedo, Audrey",1945-09-21,Black/AA,"10 HWY 15 Philadelphia, PA, 19147",Acevedo@hotmail.com,2,Yes,Ford Pantera L,92536,2402,5.194020288686813,none
"Verde, Matias",1950-01-15,White,"10 HWY 15 Philadelphia, PA, 19147",Verde@outlook.com,0,No,Fiat 128,6410,1264,6.064097330433832,dog
"Dunlap, Ja Rel",1930-09-10,Black/AA,432 Azalea Rd Apt 2b Wilmington NC 28415,Dunlap@yahoo.com,0,No,Lincoln Continental,143768,2638,7.4376792818078705,dog
"Sober, Leroy",1925-01-31,Black/AA,8234 Chester Ave Chapel Hill NC 27514,Sober@yahoo.com,0,No,Hornet 4 Drive,2707,1227,6.027066310098618,dog
"Beightel, Tasina",1922-12-11,Hispanic,8234 Chester Ave Chapel Hill NC 27514,Beightel@outlook.com,5,Yes,Mazda RX4,35881,6002,4.769109599110827,none
"Mylant, Megan",1935-11-26,Black/AA,8234 Chester Ave Chapel Hill NC 27514,Mylant@yahoo.com,3,Yes,Ford Pantera L,146991,3604,5.602431777435171,none
"el-Mowad, Kameela",1967-01-02,Asian,8234 Chester Ave Chapel Hill NC 27514,el-Mowad@outlook.com,1,Yes,Merc 280C,109686,1201,5.322644928005198,none
"al-Rasul, Muzaina",1928-12-07,White,123 Main St Chicago Ik 23948,al-Rasul@outlook.com,0,No,Duster 360,157704,2777,7.577042222783049,none
"Smith, Dylan",1935-05-24,White,8234 Chester Ave Chapel Hill NC 27514,Smith@yahoo.com,0,No,Pontiac Firebird,82830,2028,6.8282971925254925,none
"Garcia, Jesus",1977-04-01,Hispanic,123 Main St Chicago Ik 23948,Garcia@aol.com,1,Yes,Merc 280,63807,1201,4.978554623323481,cat
"Kim, Jenny",1945-05-24,White,432 Azalea Rd Apt 2b Wilmington NC 28415,Kim@yahoo.com,0,No,Toyota Corolla,74549,1945,6.745485337191632,none
"Phou, Frank",1949-08-27,Asian,432 Azalea Rd Apt 2b Wilmington NC 28415,Phou@hotmail.com,0,No,Maserati Bora,140275,2603,7.402746416909528,cat
"Edwards, Demond",1973-07-24,Hispanic,"10 HWY 15 Philadelphia, PA, 19147",Edwards@yahoo.com,0,No,Pontiac Firebird,166778,2868,7.667784499428818,cat
"Burgos, Angelika",1976-02-21,White,123 Main St Chicago Ik 23948,Burgos@hotmail.com,1,Yes,Maserati Bora,28129,1200,4.710964305025897,cat
